الرمز,الخطأ,الوقت
DOGEUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:16.414627
PEPEUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:19.398965
NEIROUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:22.524025
TROYUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:25.836929
SEIUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:28.806106
SHIBUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:32.056569
ENAUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:34.810737
ARBUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:38.023958
BOMEUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:40.270765
FETUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:00:43.236743
DOGEUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:04.437099
PEPEUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:07.451898
NEIROUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:10.483524
TROYUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:13.265625
SEIUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:16.399017
SHIBUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:19.294938
ENAUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:22.661713
ARBUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:25.742828
BOMEUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:28.845778
FETUSDT,الكمية غير كافية لفتح صفقة,2024-10-31 05:13:31.857974
